monday,藍莓,百香果,枇杷,黃金果,芒果,木瓜,荔枝,龍眼,釋迦,奇異果,鳳梨,蜜棗,葡萄,桃子,香蕉,柿子,酪梨,西瓜,草莓,桑椹,蓮霧,梅子,柑橘,金棗,文旦柚,梨子,番茄,香瓜,芭樂,紅龍果,李子
201801,183.904,28.566,190.0,117.381,47.209,29.078,0.0,166.764,67.937,62.206,22.314,0.0,96.315,117.943,40.583,64.16,142.705,15.714,241.629,0.0,53.033,0.0,23.784,37.6,11.824,56.137,25.854,111.446,31.718,43.492,0.0
201802,154.712,34.952,143.306,116.753,45.897,21.669,0.0,159.227,114.71,57.414,20.624,0.0,66.81,208.543,36.605,46.559,165.882,14.0,237.025,0.0,68.952,0.0,21.026,55.395,15.0,63.387,26.277,168.94,27.147,75.886,72.75
201803,137.962,65.714,211.867,129.369,69.934,36.656,0.0,135.539,104.979,59.145,25.837,0.0,77.78,4.0,33.497,39.786,139.835,41.617,233.583,26.15,84.744,54.825,30.668,65.031,5.4,78.367,18.121,59.851,32.502,90.131,57.207
201804,260.02,133.033,291.171,151.938,73.805,43.765,140.909,85.132,135.412,55.383,27.977,0.0,83.224,136.448,30.465,44.808,175.488,15.852,208.816,36.655,89.048,51.472,31.219,94.305,0.0,97.495,24.019,75.532,40.808,116.945,53.191
201805,256.7,143.055,337.821,223.45,48.201,26.177,65.866,88.733,166.569,70.481,17.826,0.0,98.906,169.795,24.708,0.0,173.519,10.48,191.443,19.767,82.596,42.607,28.256,75.0,19.0,80.298,20.372,66.004,36.168,74.657,39.344
201806,287.22,56.759,0.0,66.278,45.925,14.856,70.581,0.0,179.867,70.262,16.258,0.0,119.534,113.81,20.603,0.0,90.36,12.143,222.2,0.0,52.635,0.0,42.719,0.0,0.0,49.23,25.43,96.981,29.366,38.309,47.162
201807,234.467,45.955,0.0,54.829,37.165,30.805,75.951,52.44,103.355,64.223,21.028,0.0,108.106,110.153,24.184,33.873,61.152,15.395,264.358,0.0,61.08,0.0,33.452,0.0,61.48,32.567,27.761,90.479,20.651,32.084,76.266
201808,216.7,66.127,0.0,57.527,45.529,38.401,51.6,59.7,61.31,64.677,26.303,0.0,241.682,134.955,28.06,45.091,71.047,11.576,266.7,0.0,127.208,0.0,26.318,0.0,22.527,34.9,56.499,42.337,18.704,31.418,78.416
201809,300.0,41.443,0.0,76.443,74.418,35.778,0.0,70.091,81.388,67.559,18.17,0.0,164.545,124.412,29.487,63.301,86.497,11.447,266.7,0.0,182.737,0.0,27.773,0.0,16.218,38.969,63.066,61.378,24.402,29.909,84.982
201810,256.4,49.845,0.0,94.675,90.718,53.818,0.0,105.42,87.939,64.781,17.107,0.0,94.886,111.152,35.279,100.337,100.768,13.458,253.698,0.0,156.037,0.0,29.809,47.5,14.281,40.414,90.919,110.057,45.295,36.318,56.204
201811,229.095,38.93,0.0,117.227,93.134,38.296,0.0,110.458,79.79,57.517,20.391,0.0,76.8,0.0,46.543,79.515,90.283,8.536,217.141,0.0,112.408,0.0,28.327,55.913,10.936,43.911,61.332,140.844,51.211,42.667,77.606
201812,246.1,25.106,0.0,92.09,46.174,33.184,0.0,119.118,80.234,39.874,20.418,0.0,87.887,0.0,42.315,58.023,103.473,8.638,246.266,0.0,70.797,0.0,22.273,55.948,9.914,38.489,21.436,137.823,43.196,36.437,60.0
201901,143.959,36.181,55.504,89.397,39.816,37.099,0.0,137.097,67.435,56.5,21.601,0.0,69.711,108.6,39.155,41.101,153.355,9.0,229.802,0.0,76.334,0.0,22.833,56.845,7.15,53.351,15.224,101.173,32.895,65.134,0.0
201902,133.3,48.537,60.473,80.85,72.561,35.505,0.0,151.427,78.807,63.574,18.945,0.0,56.551,136.464,40.216,29.852,181.317,12.771,225.576,0.0,61.114,0.0,29.738,38.322,0.0,57.892,13.119,103.646,31.421,68.22,62.22
201903,208.714,85.297,185.2,109.422,81.8,36.121,130.0,113.762,97.882,59.642,17.639,63.018,67.665,51.556,39.753,31.93,189.816,9.369,216.868,44.129,62.08,52.515,36.261,55.039,0.0,58.394,28.012,55.14,21.159,93.26,57.429
201904,407.01,107.607,261.448,126.883,64.639,39.511,105.92,185.5,143.105,80.179,19.196,0.0,78.81,56.637,40.251,0.0,207.924,12.279,222.252,28.256,69.241,59.614,38.102,69.065,0.0,64.076,32.602,101.359,16.095,93.922,37.737
201905,303.072,90.934,467.471,130.897,47.359,32.995,169.255,130.0,161.814,72.719,23.78,0.0,78.165,164.318,38.473,200.0,121.697,13.709,186.598,45.0,100.004,62.275,31.415,0.0,0.0,49.167,50.981,115.644,26.739,97.506,40.475
201906,562.204,63.659,566.8,100.378,37.653,38.723,135.325,118.329,150.343,65.593,24.967,0.0,234.17,110.128,35.787,0.0,82.234,14.876,245.735,57.56,94.788,0.0,28.352,0.0,0.0,52.244,58.403,205.988,27.622,50.588,81.814
201907,232.615,51.221,0.0,77.3,29.086,38.876,156.884,100.323,99.871,75.139,23.689,100.0,243.381,125.777,29.642,179.0,63.547,43.178,222.572,0.0,96.248,0.0,36.397,0.0,28.65,33.103,100.843,160.407,30.787,34.795,74.001
201908,244.827,54.415,0.0,66.077,37.823,42.133,0.0,129.553,67.64,69.693,33.457,80.0,226.729,123.936,31.154,100.89,91.195,17.183,222.2,0.0,203.614,0.0,29.627,0.0,17.83,42.651,60.151,82.323,32.641,33.99,70.922
201909,238.0,57.06,0.0,96.925,76.635,37.17,0.0,132.293,82.404,68.059,30.07,0.0,155.891,149.1,33.201,82.709,94.4,20.884,222.204,0.0,166.996,0.0,22.83,0.0,18.661,45.114,48.138,77.803,37.04,40.184,86.696
201910,243.589,55.215,0.0,101.023,80.924,37.302,0.0,167.448,83.8,67.819,20.401,0.0,106.554,281.71,36.46,102.863,84.818,16.262,219.156,0.0,166.341,0.0,27.12,0.0,18.799,41.685,57.734,68.879,42.717,36.473,72.33
201911,235.559,45.255,0.0,107.153,72.654,45.171,0.0,0.0,83.682,61.43,19.379,0.0,97.97,0.0,36.793,129.43,79.662,13.756,212.78,0.0,118.766,0.0,27.348,55.045,17.197,50.516,35.397,104.6,47.038,32.873,61.671
201912,220.548,35.166,280.0,120.935,55.549,39.628,0.0,193.438,74.918,59.319,24.428,0.0,196.209,0.0,39.409,186.652,90.737,12.538,270.5,0.0,73.052,0.0,25.359,75.684,12.33,52.498,25.015,99.128,49.039,56.808,0.0
202001,136.6,20.6,0.0,130.0,54.867,44.6,0.0,230.0,71.8,88.8,29.0,0.0,75.45,0.0,42.95,315.3,101.5,11.0,220.3,0.0,115.85,0.0,15.3,83.2,20.8,54.7,21.533,290.38,41.175,60.6,0.0
